Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
550,Hina Sugita,"DF,MF",jp Japan,26,1997,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
551,Andi Sullivan,MF,us USA,27,1995,4.3,0,4,0,0,0.92,0,0,,27.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
552,Chelsea Surpris,DF,ht Haiti,26,1996,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
553,Allyson Swaby,DF,jm Jamaica,26,1996,4,1,1,1,100,0.25,0.25,1,1,8,0,0,0,0.1,0.1,0.11,0.9,0.9
554,Chantelle Swaby,DF,jm Jamaica,24,1998,4,0,1,1,100,0.25,0.25,0,0,8.8,0,0,0,0,0,0.03,0,0
555,Kaylin Swart,GK,za South Africa,28,1994,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
556,Ingrid Syrstad Engen,MF,no Norway,25,1998,2.3,0,3,1,33.3,1.31,0.44,0,0,11.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2
557,Karina Sævik,"FW,MF",no Norway,27,1996,0.8,0,2,1,50,2.61,1.3,0,0,9.7,0,0,0,0.4,0.4,0.19,-0.4,-0.4
558,Anja Sønstevold,DF,no Norway,30,1992,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
559,Nicoline Sørensen,"FW,MF",dk Denmark,25,1997,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
560,Fatima Tagnaout,MF,ma Morocco,24,1999,3.6,0,1,1,100,0.28,0.28,0,0,18,0,0,0,0.1,0.1,0.08,-0.1,-0.1
561,Hana Takahashi,DF,jp Japan,23,2000,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
562,Tamires,DF,br Brazil,35,1987,3,0,2,2,100,0.67,0.67,0,0,11.7,0,0,0,0.2,0.2,0.12,-0.2,-0.2
563,Mina Tanaka,FW,jp Japan,29,1994,3,2,13,4,30.8,4.37,1.34,0.15,0.5,16.2,0,0,0,1.7,1.7,0.13,0.3,0.3
564,Riley Tanner,"FW,MF",pa Panama,23,1999,2.3,0,3,1,33.3,1.3,0.43,0,0,12.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
565,Martha Tembo,DF,zm Zambia,25,1998,3,0,1,0,0,0.33,0,0,,28,0,0,0,0,0,0.03,0,0
566,Meriame Terchoun,"FW,MF",ch Switzerland,27,1995,0.6,0,3,2,66.7,5.4,3.6,0,0,11.2,0,0,0,0.8,0.8,0.26,-0.8,-0.8
